"pdes","name","H","a","e","i","om","w","ma"
12923,Zephyr,15.80,1.962,0.4927,5.31,168.08,147.21,194.88
13553,Masaakikoyama,16.54,2.19,0.4636,5.87,193.44,110.02,94.84
13651,,17.89,1.336,0.3057,17.25,116.63,133.85,158.08
14402,,18.77,1.715,0.4017,11.41,158.14,51.53,141.06
14827,Hypnos,18.81,2.851,0.6643,1.97,57.73,238.64,103.40
15745,Yuliya,17.41,1.72,0.2554,14.43,132.57,140.63,99.22
15817,Lucianotesi,18.47,1.325,0.1181,13.87,162.46,94.32,238.75
16064,Davidharvey,16.86,2.851,0.5893,4.54,335.53,104.81,125.86
16636,,18.78,2.311,0.4679,7.21,296.77,47.42,66.88
16657,,16.55,2.277,0.4607,24.94,31.19,21.30,111.11
16816,,16.23,1.443,0.6037,25.92,37.14,158.00,323.06
16834,,15.75,1.468,0.4422,16.00,260.75,334.40,109.14
16912,Rhiannon,17.91,1.751,0.2727,24.52,169.16,221.26,94.78
16960,,14.32,2.2,0.8591,17.52,260.15,243.25,69.45
17181,,16.77,2.37,0.6740,10.65,113.56,36.77,23.99
17182,,17.14,1.387,0.5534,9.27,333.48,203.22,267.06
17188,,16.40,2.216,0.6367,29.45,269.76,287.22,292.04
17274,,16.87,2.731,0.5541,5.57,305.70,21.32,216.83
17511,,17.32,1.19,0.3587,9.58,355.88,202.43,314.74
18106,Blume,17.78,2.443,0.5120,4.22,109.17,234.94,215.94
18109,,17.19,1.881,0.3676,0.81,59.54,319.25,270.31
18172,,15.69,2.426,0.5110,17.83,338.42,100.76,206.68
18736,,15.98,2.35,0.4911,2.81,297.42,222.90,309.19
18882,,16.15,1.685,0.2321,36.81,291.67,242.67,230.13
19356,,17.00,2.512,0.5578,3.01,186.46,334.14,93.24
19764,,16.11,2.233,0.4447,1.33,281.38,9.87,224.50
20086,,16.68,3.168,0.6287,21.69,236.77,57.96,186.31
20236,,17.70,2.033,0.5610,6.51,111.23,104.56,178.73
20255,,18.45,2.151,0.4920,9.96,180.92,17.53,269.82
20425,,20.51,1.565,0.4766,6.99,227.24,296.32,234.13
20429,,17.73,1.556,0.4641,6.30,61.73,147.70,245.55
20460,Robwhiteley,15.42,1.877,0.4118,33.95,279.99,283.74,136.82
20790,,16.64,2.753,0.5562,8.30,302.84,168.98,166.47
20826,,13.85,2.418,0.6365,31.93,347.29,198.69,198.24
21088,Chelyabinsk,14.36,1.706,0.2387,38.46,297.83,27.20,205.19
21277,,16.18,2.378,0.5204,20.95,167.33,250.20,314.31
21374,,17.45,1.269,0.1207,23.98,59.19,197.35,4.83
22099,,18.09,1.104,0.2763,9.85,136.43,186.57,299.82
22753,,17.68,1.219,0.5700,3.21,307.35,324.82,98.30
22771,,16.96,1.576,0.5242,11.40,338.90,305.84,96.21
23183,,16.06,1.824,0.4009,40.98,119.63,301.49,39.12
23187,,16.06,1.847,0.5894,51.34,164.28,293.54,324.54
23548,,17.28,2.289,0.5179,23.44,345.84,124.29,66.97
23606,,18.39,1.751,0.3609,14.36,296.60,357.66,160.53
23714,,16.85,2.128,0.5165,8.44,127.44,129.69,291.10
24443,,16.42,2.31,0.8224,25.74,178.07,231.24,59.64
24445,,14.71,2.211,0.5458,23.77,203.15,219.11,239.33
24475,,16.40,1.975,0.4417,14.63,76.40,32.70,355.86
24761,Ahau,17.37,1.335,0.3058,21.92,121.04,287.55,141.64
25143,Itokawa,19.26,1.324,0.2802,1.62,69.08,162.85,41.26
25330,,16.74,1.541,0.3709,14.33,50.51,86.10,335.29
25916,,13.77,2.558,0.4998,15.76,94.64,199.70,282.57
26166,,16.79,3.302,0.6445,14.79,185.70,62.85,37.23
26310,,19.28,2.139,0.4695,5.38,210.80,98.91,269.97
26379,,18.20,1.606,0.5763,8.68,252.10,200.61,73.55
26663,,18.17,1.546,0.4718,13.53,303.58,231.21,313.91
26760,,15.49,2.854,0.5570,11.01,146.25,155.14,10.99
26817,,19.49,2.806,0.5937,3.50,153.16,156.61,60.88
27002,,18.31,1.744,0.4335,8.70,130.33,0.82,14.84
27031,,17.89,2.138,0.4263,5.36,191.76,111.91,268.64
27346,,15.88,1.875,0.3990,36.95,135.18,269.29,88.67
29075,,17.28,1.699,0.5075,12.15,356.54,224.83,41.32
30825,,14.72,2.436,0.6809,8.74,205.02,33.67,144.18
30997,,17.27,1.56,0.6431,36.25,38.62,151.16,48.64
31210,,16.40,2.606,0.5020,8.96,144.87,271.46,251.12
